DOI,Title,Authors,Abstract,Journal,Date
10.1093/ibd/izaf217,Gut Mycobiome in Inflammatory Bowel Disease: A Systematic Review of Case-Control Studies.,"Füchtbauer JD, Brovkina O, Sivickis K, Aalykke C, Høivik ML, Andersen V, Halfvarson J, Bang C, Franke A, Kjeldsen J","BACKGROUND: The bacterial composition of the microbiome in inflammatory bowel disease (IBD) has been the focus of substantial interest. In contrast, the fungal part of the microbiome, the mycobiome, has only rarely been investigated-although anti-Saccharomyces cerevisiae antibodies, an antibody against fungal mannan, have been known for years as a biomarker for Crohn's disease (CD), but not for ulcerative colitis (UC). METHODS: A systematic review of case-control studies on the human gut mycobiome in IBD was conducted using searches in EMBASE and MEDLINE. RESULTS: Twenty-seven studies, with a total of 1406 IBD patients and 1060 controls were identified. The differences in alpha diversity varied across studies and were related to geography, whereas differences in beta diversity between cases and controls were found in a large majority of the studies. Overall, the results were inconsistent at different taxonomic levels, and the studied populations were heterogeneous, as were the methodological approaches. The most consistent finding was an increase of Candida for both CD and UC and of Malassezia in CD, where it was often linked to a decrease of Saccharomyces. CONCLUSIONS: The mycobiome is altered in IBD, as differences in beta diversity were found between cases and controls consistently. Future studies should carefully standardize every step from sample collection through analysis and data processing, allowing external validation of findings. Inclusion of treatment naïve patients and symptomatic controls could further advance this field.",Inflammatory bowel diseases,24/09/2025
10.1002/advs.202511920,"Unveiling Novel Viral Diversity, Biogeography, and Host Networks in Wildlife Through High-Throughput Sequencing Data Mining.","Wang H, Meng Y, Chen X, Cui X, Zuo Q, Han N, Liang X, Shen X, Li C, Li D, Wang F, He L, Chen R, Lu X, You W, Wu A, Chen RA, Chen W, Ding C, Shen Y","≈75% of emerging pathogens originating from wildlife. However, viral diversity within wildlife remains insufficiently explored. This work performs an extensive analysis of 57 536 publicly high-throughput sequencing datasets from wild mammals and birds, resulting in the generation of ≈613.45 million assembled contigs, including 131 509 potential viral contigs identified through BLASTn and BLASTx searches. Following the exclusion of index hopping contamination, 9788 are categorized into 25 viral families with known zoonotic potential. These results indicate significant spatial and host-specific variability in viral distribution and reveal a positive correlation between viral diversity and host biodiversity. Rodents, bats, ungulates, and anseriformes exhibit the highest viral diversity. Notably, 50% of the viral sequences exhibit <90% amino acid identity to known viruses, indicating of potential novel viruses. Host-virus network uncovers 458 associations, 67.9% are unreported. Further, sequences of avian influenza viruses are identified in goats, while SARS-CoV-2 are detected in goats, ferrets, porpoises, cactus mice, and house finches. These findings highlight the largely uncharacterized viral diversity in wildlife, underscore the urgent requirement for surveillance at the wildlife-livestock interfaces. Additionally, this work develop the Animal Pathogen Decoding Platform, to facilitate the retrieval and analysis of viral contigs, thereby reducing computational redundancies in future research.","Advanced science (Weinheim, Baden-Wurttemberg, Germany)",23/09/2025
10.1016/j.cell.2025.08.029,Creeping fat-derived mechanosensitive fibroblasts drive intestinal fibrosis in Crohn's disease strictures.,"Bauer-Rowe KE, Pham B, Griffin M, Liang NE, Kim A, Lu JM, Januszyk M, Guo JL, De Santis S, Xing Y, Prystupa A, Sidhu I, Suh EJ, Foster DS, Korah M, Goyal A, Wan DC, Norton JA, Delitto D, Pizarro TT, Naik SL, Hyun JS, Longaker MT","A significant complication of Crohn's disease (CD) is intestinal fibrosis, which narrows the bowel lumen to form a stricture. Creeping fat (CF) is the wrapping of mesenteric adipose tissue around diseased bowel, of which the role in CD stricture progression is unclear. By constructing a human single-cell CD fibroblast atlas, we identified CF-derived, CTHRC1+ fibroblasts enriched for Yes-associated protein (YAP)/transcriptional co-activator with PDZ-binding motif (TAZ) signatures and localized to a fibrotic CF-bowel wall interface within the stricture. We further showed that analogous Cthrc1+ mouse fibroblasts derive from mesenteric adipose tissue stromal cells, infiltrate fibrotic bowel, and deposit extracellular matrix in a YAP/TAZ-dependent manner in a mouse model of intestinal fibrosis. Our findings identify CF as a key source of pro-fibrotic fibroblasts and raise the possibility of improving future clinical management of stricture progression by targeting not only the bowel but also CF.",Cell,17/09/2025
10.1002/alz.70680,Caregivers' perspectives on lecanemab use for Alzheimer's disease: A national survey in China.,"Liu S, Fan S, Gan J, Liao W, Chen Q, Li X, Zhang J, Chen X, Ji Y","INTRODUCTION: Caregivers' decisions significantly influence Alzheimer's disease progression, yet research on the benefits of disease-modifying therapy (DMT) from their perspective is limited. METHODS: This cross-sectional survey included 345 informal caregivers of lecanemab-treated patients. We collected online questionnaires from 37 tertiary hospitals across 31 provinces/autonomous regions/municipalities in China (2024/06/24 ∼ 2024/12/24). RESULTS: Approximately 94.5% of the caregivers opined that the burden of care did not intensify (including remaining constant or being alleviated) subsequent to the administration of lecanemab, among which 25.8% of the caregivers stated that the burden of care was mitigated. Those caregivers with a higher annual family income (≥¥400,000, p < 0.01) and filial caregivers exhibited greater confidence in the therapeutic efficacy of lecanemab. DISCUSSION: Most caregivers hold a positive attitude toward lecanemab, particularly filial caregivers. The application of lecanemab may alleviate the care burden on caregivers. HIGHLIGHTS: We conducted the first China national survey on Alzheimer's disease (AD) caregiver decision-making and lecanemab experience, collecting 345 questionnaires. The majority of caregivers in China hold a favorable attitude toward lecanemab. Higher education, younger age, and filial relationships are associated with reduced caregiver burden. Higher income is linked to increased caregiver confidence and better lecanemab adherence. There is a low adoption rate of blood-based AD biomarkers in caregiver decisions.",Alzheimer's & dementia : the journal of the Alzheimer's Association,01/09/2025
10.1158/1078-0432.CCR-25-1564,Patient-derived organoids predict treatment response in metastatic colorectal cancer.,"Smabers LP, Wensink GE, Verissimo CS, Doorn M, Yang T, Voskuilen T, Huismans MA, Valkenburg-van Iersel L, Cirkel GA, Gootjes EC, Verheul HMW, Jeurissen FJ, Bol GM, Nienhuis HH, Braat MNGJA, Cuppen E, Vries RGJ, van der Baan FH, Elias SG, Kranenburg O, Koopman M, Boj SF, Roodhart JML","PURPOSE: Accurately predicting treatment response in metastatic colorectal cancer (mCRC) is critical to avoid unnecessary toxicity and improve patient outcomes. Patient-derived organoids (PDOs) are promising models, but larger prospective studies are needed to confirm their predictive value. EXPERIMENTAL DESIGN: mCRC patients underwent a metastatic biopsy for PDO establishment, before starting new systemic treatment. Predictors of PDO establishment were identified. PDOs were incubated with a seven-drug panel, including the patient's treatment, to determine drug sensitivity as measured by CyQUANT cell viability (AUC, GRAUC, IC50, and GR50). Patient response was measured by size change of biopsied and all target lesions. The diagnostic performance was evaluated by PPV, NPV, and AUROC. Additionally, the association between PDO response and survival was assessed. RESULTS: A total of 232 patients were included and 205 biopsies were obtained. PDO establishment success increased from 22% to 75%, yielding 52% overall. Male sex, increased lactate dehydrogenase, biopsy in academic hospitals, optimized culture conditions and experience were related to PDO establishment success. In this interim analysis, focused on oxaliplatin-based doublet chemotherapy, 42 PDOs were screened. PDO drug sensitivity significantly correlated with response of the biopsied lesion (R=0.41-0.49, p<0.011) and all target lesions (R=0.54-0.60, p<0.001) for all treatments combined. The 5-FU & oxaliplatin PDO screens demonstrated high predictive accuracy (PPV: 0.78, NPV: 0.80, AUROC: 0.78-0.88) and were associated with PFS and OS (p=0.016 and 0.049). CONCLUSIONS: We identified predictors for successful mCRC PDO establishment and validated that PDOs can accurately predict patient outcomes during systemic treatment, specifically with 5-FU & oxaliplatin.",Clinical cancer research : an official journal of the American Association for Cancer Research,22/09/2025
10.1186/1471-2334-14-371,Spatial-temporal excess mortality patterns of the 1918-1919 influenza pandemic in Spain.,"Chowell G, Erkoreka A, Viboud C, Echeverri-Dávila B","BACKGROUND: The impact of socio-demographic factors and baseline health on the mortality burden of seasonal and pandemic influenza remains debated. Here we analyzed the spatial-temporal mortality patterns of the 1918 influenza pandemic in Spain, one of the countries of Europe that experienced the highest mortality burden. METHODS: We analyzed monthly death rates from respiratory diseases and all-causes across 49 provinces of Spain, including the Canary and Balearic Islands, during the period January-1915 to June-1919. We estimated the influenza-related excess death rates and risk of death relative to baseline mortality by pandemic wave and province. We then explored the association between pandemic excess mortality rates and health and socio-demographic factors, which included population size and age structure, population density, infant mortality rates, baseline death rates, and urbanization. RESULTS: Our analysis revealed high geographic heterogeneity in pandemic mortality impact. We identified 3 pandemic waves of varying timing and intensity covering the period from Jan-1918 to Jun-1919, with the highest pandemic-related excess mortality rates occurring during the months of October-November 1918 across all Spanish provinces. Cumulative excess mortality rates followed a south-north gradient after controlling for demographic factors, with the North experiencing highest excess mortality rates. A model that included latitude, population density, and the proportion of children living in provinces explained about 40% of the geographic variability in cumulative excess death rates during 1918-19, but different factors explained mortality variation in each wave. CONCLUSIONS: A substantial fraction of the variability in excess mortality rates across Spanish provinces remained unexplained, which suggests that other unidentified factors such as comorbidities, climate and background immunity may have affected the 1918-19 pandemic mortality rates. Further archeo-epidemiological research should concentrate on identifying settings with combined availability of local historical mortality records and information on the prevalence of underlying risk factors, or patient-level clinical data, to further clarify the drivers of 1918 pandemic influenza mortality.",BMC infectious diseases,05/07/2014
10.1007/s00330-025-11997-0,MRI-based habitat analysis for pathologic response prediction after neoadjuvant chemoradiotherapy in rectal cancer: a multicenter study.,"Chen Q, Zhang Q, Li Z, Zhang S, Xia Y, Wang H, Lu Y, Zheng A, Shao C, Shen F","OBJECTIVES: To investigate MRI-based habitat analysis for its value in predicting pathologic response following neoadjuvant chemoradiotherapy (nCRT) in rectal cancer (RC) patients. MATERIALS AND METHODS: 1021 RC patients in three hospitals were divided into the training and test sets (n = 319), the internal validation set (n = 317), and external validation sets 1 (n = 158) and 2 (n = 227). Deep learning was performed to automatically segment the entire lesion on high-resolution MRI. Simple linear iterative clustering was used to divide each tumor into subregions, from which radiomics features were extracted. The optimal number of clusters reflecting the diversity of the tumor ecosystem was determined. Finally, four models were developed: clinical, intratumoral heterogeneity (ITH)-based, radiomics, and fusion models. The performance of these models was evaluated. The impact of nCRT on disease-free survival (DFS) was further analyzed. RESULTS: The Delong test revealed the fusion model (AUCs of 0.867, 0.851, 0.852, and 0.818 in the four cohorts, respectively), the radiomics model (0.831, 0.694, 0.753, and 0.705, respectively), and the ITH model (0.790, 0.786, 0.759, and 0.722, respectively) were all superior to the clinical model (0.790, 0.605, 0.735, and 0.704, respectively). However, no significant differences were detected between the fusion and ITH models. Patients stratified using the fusion model showed significant differences in DFS between the good and poor response groups (all p < 0.05 in the four sets). CONCLUSION: The fusion model combining clinical factors, radiomics features, and ITH features may help predict pathologic response in RC cases receiving nCRT. KEY POINTS: Question Identifying rectal cancer (RC) patients likely to benefit from neoadjuvant chemoradiotherapy (nCRT) before treatment is crucial. Findings The fusion model shows the best performance in predicting response after neoadjuvant chemoradiotherapy. Clinical relevance The fusion model integrates clinical characteristics, radiomics features, and intratumoral heterogeneity (ITH)features, which can be applied for the prediction of response to nCRT in RC patients, offering potential benefits in terms of personalized treatment strategies.",European radiology,22/09/2025
10.1186/s40035-025-00510-8,Targeting the glymphatic system: Aβ accumulation and phototherapy strategies across different stages of Alzheimer's disease.,"Zhao D, Wang J, Zhu Y, Zhang H, Ni C, Zhao Z, Dai J, He R, Liu G, Gan C, Zhang S, Tong Z","The glymphatic system serves as the brain's clearance system. It deteriorates with age and is a significant contributor to the onset and progression of Alzheimer's disease (AD). Modulating cerebrospinal fluid (CSF)-based clearance and targeting key components of the glymphatic system, such as aquaporin-4, can enhance amyloid-beta (Aβ) clearance. Light therapy is emerging as a potential AD treatment approach, which involves the use of visible and near-infrared light at specific wavelengths (630/680/808/850/1070 nm), photosensitive proteins, and sensory stimulation at particular frequencies (e.g., 40 Hz). This phototherapy strategy can broadly influence the intracerebral fluid dynamics, including cerebral blood flow, CSF, and interstitial fluid (ISF), as well as structures related to the glymphatic system, such as vascular endothelial cells, glial cells, and neurons. Additionally, it may directly or indirectly inhibit Aβ accumulation by modulating endogenous small molecules, thereby improving cognitive function. Our previous research demonstrated that 630-nm red light can inhibit Aβ cross-linking by clearing endogenous formaldehyde and promoting ISF drainage. Notably, Aβ accumulation exhibits distinct characteristics at different phases of AD, accompanied by varying features of glymphatic system impairment. In the early stages, deep brain regions are significantly affected, whereas in the late stages, accumulation primarily occurs in the paracentral, precentral, and postcentral cortices. Owing to the limited penetration depth of light, this may pose a challenge to the clinical efficacy of phototherapy. Therefore, different stages of AD may require tailored phototherapeutic strategies. Meanwhile, it is important to acknowledge the ongoing controversies associated with lymphovenous anastomosis, a procedure that targets the glymphatic system. Therefore, this article reviews the characteristics of glymphatic system impairment across various AD stages and the mechanisms by which effective phototherapies modulate the glymphatic system. Potential phototherapeutic strategies corresponding to different stages of Aβ accumulation are also proposed.",Translational neurodegeneration,24/09/2025
10.1126/sciadv.adv5673,Glioblastoma exploits ATP from leading-edge astrocytes to fuel its infiltrative growth revealed by spatially resolved chimeric analysis.,"Yang G, Niu X, Gan J, Yu T, Li M, Xiao P, Zhang R, He P, Yang Y, Cui Y, Huang X, Wang Y, Mao Q, Zhou R","Glioblastoma (GBM) is the deadliest primary brain tumor that frequently infiltrates surrounding brain tissue, causing therapy resistance and recurrence. The molecular characteristics of infiltrating GBM cells and their interactions with brain cells remain poorly understood, partly due to limited spatial tools for distinguishing tumor cells from those in the tumor microenvironment (TME). Here, we introduce Spatially-resolved Chimeric AnalyzeR (SCAR), a computational tool for dissecting tumor-TME gene expression in spatial transcriptomics of human-mouse chimeric cancer models. SCAR reveals spatially distinct characteristics of GBM and their interactions with TME, identifying that infiltrative GBM up-regulates creatine kinase brain type (CKB) at the astrocyte-enriched leading edge compared to the tumor core. Mechanistically, GBM-secreted CKB catalyzes the extracellular conversion of astrocyte-supplied adenosine triphosphate (ATP) and creatine into phosphocreatine, providing metabolic support for infiltrative tumor growth, which can be blocked by cyclocreatine. These results provide proof-of-concept validation of SCAR and demonstrate spatial context-dependent metabolic rewiring of GBM cells, with implications for therapies targeting infiltrative GBM.",Science advances,26/09/2025
10.1084/jem.20250460,Human CD4+ T cells recognize Mycobacterium tuberculosis-infected macrophages amid broader responses.,"Stetsenko V, Gail DP, Reba SM, Suzart VG, Schauner R, Sandhu AK, Sette A, Haj Dezfulian M, Lindestam Arlehamn CS, Carpenter SM","CD4+ T cell-mediated control of tuberculosis (TB) requires recognition of macrophages infected with Mycobacterium tuberculosis (Mtb). Yet, not all Mtb-specific T cells recognize infected macrophages. Using infected monocyte-derived macrophages and autologous memory CD4+ T cells from individuals with stable latent Mtb infection (LTBI), we quantify the frequency of activated T cells. T cell antigen receptor (TCR) sequencing revealed >70% of unique and >90% of total Mtb-specific TCR clonotypes in LTBI are linked to recognition of infected macrophages, while a subset required exogenous antigen exposure, suggesting incomplete recognition. Clonotypes specific for multiple Mtb antigens, and other pathogens, were identified. Remarkably, antigen screening revealed all TCRs to be specific for type VII secretion system (T7SS) substrates. Mtb-specific clonotypes expressed signature effector functions dominated by IFNγ, TNF, IL-2, and GM-CSF or chemokine production and signaling. We propose that TB vaccines, which elicit T cells specific for T7SS substrates, recognize infected macrophages, and express canonical effector functions, will offer protection against TB.",The Journal of experimental medicine,01/12/2025
10.1097/JS9.0000000000003562,Development and validation of an explainable machine learning model for predicting postoperative venous thromboembolism in esophageal cancer.,"Hu Z, Xu Q, Yuan Y, Li X, Zhang H, Wang Z, Lei H, Wu Y","OBJECTIVE: This study aimed to develop and validate a postoperative venous thromboembolism (VTE) risk prediction model specifically designed for patients with esophageal cancer, leveraging machine learning techniques to enhance clinical decision-making and patient outcomes. METHODS: Eight machine learning models-Logistic Regression (LR), Random Forest (RF), Neural Network (NN), Gradient Boosting Machine (GBM), Support Vector Machine (SVM), eXtreme Gradient Boosting (XGBoost), AdaBoost, and Decision Tree-were constructed and rigorously evaluated. Model performance was assessed using the Brier score, calibration slope, F1 score, Youden index, the area under the curve (AUC), and accuracy (ACC). Decision curve analysis (DCA) and calibration curves were employed to evaluate clinical utility, while Shapley Additive Explanations (SHAP) plots were used to enhance model interpretability. RESULTS: The study enrolled a total of 1595 patients diagnosed with esophageal cancer, among whom 407 (25.52%) were diagnosed with VTE during the study period. The models were ranked based on several metrics, with GBM achieving the highest overall score of 44. A Brier score of 0.151, a calibration slope of 1.031, an F1 score of 0.827, a Youden index of 0.466, an AUC of 0.797, and an ACC of 0.757 were obtained. Key predictors included D-dimer and Lymphocyte Count (LYM). SHAP analysis provided valuable insights into the relative contribution of each predictor to the model's risk assessment. CONCLUSION: This study established a robust VTE risk prediction model using GBM, demonstrating high accuracy and clinical applicability for patients with esophageal cancer. The integration of advanced machine learning techniques into clinical practice highlights the potential to reduce VTE-related morbidity and mortality in high-risk patient populations.","International journal of surgery (London, England)",24/09/2025
10.1097/JS9.0000000000003450,The different colorectal tumor risk related to GLP-1 receptor agonists and SGLT2 inhibitors use: a network meta-analysis of 68 randomized controlled trials.,"Hung CM, Zeng BY, Hsu CW, Chen PH, Sun CK, Carvalho AF, Stubbs B, Chen YW, Chen TY, Lei WT, Chen JJ, Shiue YL, Su KP, Liang CS, Tseng PT","BACKGROUND: Recent evidence has raised concerns about potential pro-oncogenic effects associated with glucagon-like peptide-1 (GLP-1) receptor agonists and sodium-glucose co-transporter 2 (SGLT2) inhibitors, particularly regarding gastrointestinal malignancies. Colorectal tumors, the third most diagnosed cancer globally, already show increased incidence in patients with metabolic disorders who typically require these medications. For example, obese subjects had significantly higher risk of colorectal tumor than healthy subjects. However, existing evidence on this association remains inconsistent. This network meta-analysis (NMA) evaluated the comparative incidence of colorectal tumors associated with specific GLP-1 receptor agonists and SGLT2 inhibitors. MATERIALS AND METHODS: We conducted a confirmatory NMA focused specifically on colorectal tumor incidence as an adverse effect, following Cochrane methodological recommendations. We performed a frequentist-based NMA of randomized controlled trials (RCTs) evaluating GLP-1 receptor agonists or SGLT2 inhibitors. Our primary outcome was colorectal tumor incidence, with safety profiles assessed by dropout rates as a secondary outcome. RESULTS: This NMA encompassing 68 RCTs with 207,200 participants found that only semaglutide was associated with increased incidence of colorectal tumors compared to controls. A dose-stratified analysis revealed that high-dose injectable semaglutide (2.4 mg/week) was the only regimen associated with increased incidence. Further, when focusing on RCTs of obese subjects, this increased colorectal tumor rate related to semaglutide still existed. Neither other GLP-1 receptor agonists nor any SGLT2 inhibitors demonstrated significant associations with colorectal tumor development. CONCLUSION: Our study provides the first comprehensive NMA addressing incidence of colorectal tumor related to individual GLP-1 receptor agonists and SGLT2 inhibitors, suggesting a dose-dependent relationship to semaglutide, particularly in its high-dose injectable form (2.4 mg/week). These findings represent a potential risk signal that requires further validation given the already elevated baseline colorectal tumor risk in the target population, especially in subjects with obesity. Future research should focus on long-term follow-up studies to better characterize the mechanisms and clinical implications of this semaglutide-specific risk signal.","International journal of surgery (London, England)",24/09/2025
10.1093/brain/awaf345,Granulocyte and astrocyte markers distinguish MOG-antibody disease and neuromyelitis optica from multiple sclerosis.,"Furlan R, Schaedelin S, Frederiksen JL, Watanabe M, Piehl F, Fink K, Iacobaeus E, Evertsson B, Khademi M, Gastaldi M, Greco G, Mariotto S, Carta S, Di Sapio A, Bava CI, Giorgi L, Benkert P, Maceski AM, Oechtering J, Willemse E, Pröbstel AK, Pretzsch R, Finardi A, Mandelli A, Anthony D, Kuhle J, Leppert D","Granulocytes play a well-established role in the pathogenesis of brain tissue damage in neuromyelitis optica spectrum disorder (NMOSD). The release of granulocyte activation markers (GAM) into CSF has recently been shown to distinguish NMOSD from multiple sclerosis (MS) with high accuracy. However, their pathogenetic role in myelin oligodendrocyte glycoprotein antibody-associated disease (MOGAD) is less clear, and their usefulness for diagnostic differentiation is unknown. This observational cohort study by eight tertiary centres in Europe and Japan included 244 CSF samples from patients with MOGAD (n=71), NMOSD (n=48), MS (n=125), and control persons (n=19). CSF levels of GAM (neutrophil elastase, myeloperoxidase, NGAL, MMP-8, MMP-9), astrocyte damage markers (ADM: glial fibrillary acidic protein (GFAP), S100B), and complement factors C5 and C5a were analysed by capillary ELISA (Ella™) or Luminex®. The primary outcome was the capacity of these markers to differentiate MOGAD, NMOSD, and MS in the acute (≤21 days post-exacerbation) stage, and the correlation of GAM with C5 and C5a. Secondary analyses included the correlations of these markers with disability severity, measured by the Expanded Disability Status Scale (EDSS). GAM (except for MMP-9), ADM, and C5/C5a levels peaked at onset of disease exacerbation of MOGAD and NMOSD (regardless of aquaporin-4 antibody status), and were significantly higher than in MS. MMP-9 levels were continuously increased in MS over MOGAD and NMOSD, both in acute and subacute/chronic stages. C5 and C5a were equally increased over MS in acute stages of MOGAD and NMOSD. A logistic model and receiver operating characteristics analyses incorporating GAM and C5 displayed high discriminatory power between MOGAD/NMOSD vs MS (area under the curve (AUC) 0.880), NMOSD vs MS (AUC 0.837), and MOGAD vs MS (AUC 0.925) in acute stages. Accordingly, increased ADM levels in NMOSD differentiated NMOSD from MS and MOGAD (AUC 0.897 and 0.843, respectively). GAM levels correlated with EDSS scores in MOGAD and NMOSD, but not in MS, while those of ADM correlated with disability in NMOSD, but not in MOGAD and MS. Determining CSF levels of GAM and C5/C5a, and of ADM provide a biology-driven approach to differentiate MOGAD, NMOSD and MS. Their measurement can be processed faster and with similar accuracy than with most auto-antibody assays, enabling timely initiation of appropriate therapy in acute presentations. The correlation between GAM and C5/C5a levels with neurological impairment in MOGAD and NMOSD corroborates their role as effectors of neural damage, supporting the acute stage use of inhibitors of C5 activation.",Brain : a journal of neurology,24/09/2025
10.1136/gutjnl-2025-336317,Epigenetic therapies in hepatocellular carcinoma: emerging clinical tools and applications.,"Bueloni B, G Fernandez-Barrena M, Fiore E, Avila MA, Bayo J, Mazzolini GD","Hepatocellular carcinoma (HCC) is the second leading cause of cancer death worldwide, largely due to the limited efficacy of current therapies in advanced stages of the disease. Most cases of HCC develop in the setting of chronic liver disease, particularly cirrhosis, where ongoing cycles of inflammation, hepatocyte death and regeneration foster the gradual accumulation of genetic and epigenetic alterations that promote malignant transformation. These molecular changes contribute to the high degree of tumour heterogeneity observed in HCC, a major factor underlying resistance to current treatments. As a result, sustained clinical responses to existing therapies, such as tyrosine kinase inhibitors, anti-angiogenic agents and immune checkpoint inhibitors, remain uncommon. In this context, a growing body of evidence has identified epigenetic dysregulation as a key driver of tumour progression and therapeutic resistance, highlighting a new frontier for intervention. This review provides clinicians and researchers with a comprehensive overview of the emerging field of epigenetic therapies in HCC, summarising results from both completed and ongoing clinical trials involving the so-called 'epidrugs'. Importantly, we discuss how targeting epigenetic mechanisms may not only suppress tumour growth but also enhance the effectiveness of current therapies by reversing resistance pathways. By translating complex molecular insights into tangible therapeutic strategies, epigenetics is poised to reshape the future of HCC management, offering renewed hope for more durable and personalised treatment responses in a disease where progress is urgently needed.",Gut,23/09/2025
10.1016/j.metabol.2025.156394,Emerging roles of TRIM in metabolic regulation.,"Wang J, Wang Q, Li X, Cai Q, Bi Y, Xu C, Bai H, Gu L, Chang G, Chen S","Recent findings have broadened our understanding of the tripartite motif (TRIM) protein family, positioning these proteins as pivotal regulators of cellular metabolism and cell fate. Primarily functioning as versatile E3 ubiquitin ligases, TRIM proteins orchestrate key metabolic pathways-including glucose, lipid, and amino acid metabolism-through both ubiquitination-dependent and -independent mechanisms such as oligomerization and epigenetic modification. For example, TRIM38, TRIM11, and TRIM24 have been reported to modulate glycolytic flux and insulin signaling by targeting key glucose transporters and glycolytic enzymes, with effects on cancer metabolism and insulin responses in model systems. Similarly, TRIM21 and TRIM56 have been implicated in fatty acid synthesis, oxidation, and cholesterol balance, with potential relevance to fatty-liver conditions and atherosclerosis. Moreover, TRIM-mediated regulation of amino acid metabolism-particularly through pathways involving glutamine and branched-chain amino acids-plays a central role in tumor metabolic reprogramming and survival. Beyond enzymatic regulation, TRIM proteins exert non-canonical functions through epigenetic modulation and interactions with signaling networks. This review synthesizes current insights into the multifaceted roles of TRIM proteins in metabolic control and cell death, suggesting that ferroptosis may link TRIM proteins to lipid and amino acid metabolism, and highlights the connection between TRIM proteins and metabolic stress as a key area for future research.",Metabolism: clinical and experimental,21/09/2025
10.1073/pnas.2516300122,In situ structures of the Legionella Dot/Icm T4SS identify the DotA-IcmX complex as the gatekeeper for effector translocation.,"Yue J, Heydari S, Park D, Chetrit D, Tachiyama S, Guo W, Botting JM, Wu S, Roy CR, Liu J","The Dot/Icm machine of Legionella pneumophila is among the most versatile type IV secretion systems (T4SSs), capable of translocating more than 330 distinct effector proteins across the bacterial envelope into host cells. Assembly and function of the system require at least 27 Dot and Icm proteins, yet its architecture and activation mechanism remain poorly understood at the molecular level. Here, we deploy in situ single-particle cryoelectron microscopy to determine near-atomic structures of the Dot/Icm machine and its intimate association with three distinct outer membrane porins in intact bacteria. Notably, two essential yet enigmatic components, DotA and IcmX, form a pentameric protochannel in an inactive state at the central axis of the Dot/Icm machine. Upon Dot/Icm activation with host lysate, this protochannel undergoes extensive rearrangements to generate an extended transenvelope conduit, as visualized by cryoelectron tomography (cryo-ET) and subtomogram averaging. Furthermore, a combination of cryo-ET and cryo-FIB milling of macrophages infected with L. pneumophila reveals tethering of the Dot/Icm machine to the host membrane, suggesting direct translocation of effector proteins from the bacterial cytoplasm into the host. Together, our studies identify the DotA-IcmX complex as a gatekeeper for effector translocation and provide a molecular framework for understanding the assembly and activation of the elaborate Dot/Icm T4SS.",Proceedings of the National Academy of Sciences of the United States of America,30/09/2025
10.1111/ppe.12601,Maternal acetaminophen use during pregnancy and childhood behavioural problems: Discrepancies between mother- and teacher-reported outcomes.,"Parker SE, Collett BR, Werler MM","BACKGROUND: Maternal acetaminophen use during pregnancy is common and has been associated with childhood behavioural problems among offspring, specifically hyperactivity and conduct problems. OBJECTIVE: Assessments of child behaviour in many previous studies have relied on maternal or parent report. Acknowledging that results of behavioural assessments vary between informants, we examined the association between maternal acetaminophen use during pregnancy and behaviour problems in childhood based on mother- and teacher-report. METHODS: A longitudinal study of 560 mother-child pairs with data on illnesses and medication use during pregnancy and neurodevelopmental assessments during childhood was conducted. Acetaminophen use during pregnancy was captured using a standardised maternal interview, completed 1 year after delivery on average. Measures of childhood (6-12 years of age) behaviour were obtained via mother- and teacher-report, using the Child Behaviour Checklist and Teacher Report Form. Linear and log-binomial models were used to calculate adjusted mean differences (MD) and risk ratios (RR), respectively and 95% confidence intervals (CI) for internalising, externalising, and total behaviour problems comparing acetaminophen users to non-users. Stabilized inverse probability weights were used to account for loss to follow-up, and adjustments for indication were made. RESULTS: Approximately 60% (n = 354) of women reported use of acetaminophen during pregnancy. Acetaminophen use during pregnancy was associated with an increase in total behaviour problem score and risk of clinical behaviour problems according to mother report (MD 2.2, 95% CI 0.3, 4.1 and RR 1.93, 95% CI 0.99, 3.76) but not according to teacher report. Weighting to account for participation did not alter results, while adjustment for indications of acetaminophen use greatly attenuated the associations with mother-reported total behaviour problem score and risk of clinical behaviour problems (MD 0.1, 95% CI -2.1, 2.3 and RR 1.31, 95% CI 0.67, 2.58). CONCLUSIONS: Acetaminophen use during pregnancy was weakly associated with mother-reported behaviour problems and not associated with teacher-reported problems.",Paediatric and perinatal epidemiology,01/05/2020
